"part_id","panel","multiple_contacts_child_school","multiple_contacts_adult_school","multiple_contacts_older_adult_school","multiple_contacts_school_precautions","multiple_contacts_school_duration","multiple_contacts_child_other","multiple_contacts_adult_other","multiple_contacts_older_adult_other","multiple_contacts_other_precautions","multiple_contacts_other_duration","survey_round","multiple_contacts_child_work","multiple_contacts_adult_work","multiple_contacts_older_adult_work","multiple_contacts_work_precautions","multiple_contacts_work_duration","panel_id"
11218613,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112186
11218710,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112187
11218711,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112187
11218713,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112187
11218714,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112187
11218810,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112188
11218813,"B",NA,NA,NA,NA,NA,0,0,0,NA,NA,13,0,0,0,NA,NA,112188
11218910,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112189
11218911,"B",NA,NA,NA,NA,NA,1,1,1,"Yes","Less than 1 minute",11,1,1,1,"Sometimes","Less than 1 minute",112189
11219010,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112190
11219011,"B",NA,NA,NA,NA,NA,1,2,3,"Yes","Less than 1 minute",11,2,1,3,"No","Less than 1 minute",112190
11219013,"B",NA,NA,NA,NA,NA,1,8,0,"No","1 hour or more",13,5,5,0,"Sometimes","1 hour or more",112190
11219014,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112190
11219110,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112191
11219114,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112191
11219210,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112192
11219213,"B",NA,NA,NA,NA,NA,0,0,0,NA,NA,13,0,30,4,"Yes","1 minutes or more but less than 5 minutes",112192
11219214,"B",NA,NA,NA,NA,NA,0,9,0,"Yes","5 minutes or more but less than 15 minutes",14,6,10,10,"Yes","1 minutes or more but less than 5 minutes",112192
11219310,"B",NA,NA,NA,NA,NA,0,0,0,NA,NA,10,0,10,0,"Sometimes","1 minutes or more but less than 5 minutes",112193
11219410,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112194
11219510,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112195
11219511,"B",NA,NA,NA,NA,NA,1,10,4,"No","1 hour or more",11,2,16,6,"No","15 minutes or more but less than 1 hour",112195
11219513,"B",NA,NA,NA,NA,NA,2,10,1,"No","1 hour or more",13,2,10,1,"No","1 hour or more",112195
11219610,"B",NA,NA,NA,NA,NA,2,6,2,"No","5 minutes or more but less than 15 minutes",10,1,20,2,"No","1 minutes or more but less than 5 minutes",112196
11219611,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112196
11219710,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112197
11219711,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112197
11219714,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112197
11219810,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112198
11219811,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112198
11219813,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112198
11219815,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,112198
11219910,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112199
