part_id,month,year,sday_id,dayofweek,day,wave
1442901,4,2020,2020.04.16,4,16,1
1443001,4,2020,2020.04.19,0,19,1
1443101,4,2020,2020.04.19,0,19,1
1443201,4,2020,2020.04.16,4,16,1
1443301,4,2020,2020.04.20,1,20,1
1443401,4,2020,2020.04.16,4,16,1
1443501,4,2020,2020.04.18,6,18,1
1443701,4,2020,2020.04.19,0,19,1
1443801,4,2020,2020.04.19,0,19,1
1443901,4,2020,2020.04.19,0,19,1
1444001,4,2020,2020.04.17,5,17,1
1444101,4,2020,2020.04.19,0,19,1
1444201,4,2020,2020.04.19,0,19,1
1444301,4,2020,2020.04.20,1,20,1
1444401,4,2020,2020.04.16,4,16,1
1444501,4,2020,2020.04.20,1,20,1
1444601,4,2020,2020.04.19,0,19,1
1444701,4,2020,2020.04.19,0,19,1
1444801,4,2020,2020.04.16,4,16,1
1444901,4,2020,2020.04.20,1,20,1
1445001,4,2020,2020.04.19,0,19,1
1445101,4,2020,2020.04.19,0,19,1
1445201,4,2020,2020.04.19,0,19,1
1445301,4,2020,2020.04.16,4,16,1
1445401,4,2020,2020.04.19,0,19,1
1445501,4,2020,2020.04.16,4,16,1
1445601,4,2020,2020.04.19,0,19,1
1445701,4,2020,2020.04.16,4,16,1
1445801,4,2020,2020.04.16,4,16,1
1445901,4,2020,2020.04.19,0,19,1
1446001,4,2020,2020.04.16,4,16,1
1446101,4,2020,2020.04.19,0,19,1
1446201,4,2020,2020.04.19,0,19,1
1446301,4,2020,2020.04.19,0,19,1
1446401,4,2020,2020.04.16,4,16,1
1446501,4,2020,2020.04.19,0,19,1
1446601,4,2020,2020.04.19,0,19,1
1446701,4,2020,2020.04.19,0,19,1
1446801,4,2020,2020.04.16,4,16,1
1446901,4,2020,2020.04.16,4,16,1
1447001,4,2020,2020.04.16,4,16,1
1447201,4,2020,2020.04.19,0,19,1
1447301,4,2020,2020.04.20,1,20,1
1447401,4,2020,2020.04.16,4,16,1
1447501,4,2020,2020.04.19,0,19,1
1447601,4,2020,2020.04.16,4,16,1
1447701,4,2020,2020.04.17,5,17,1
1447801,4,2020,2020.04.17,5,17,1
1447901,4,2020,2020.04.20,1,20,1
1448001,4,2020,2020.04.19,0,19,1
1448101,4,2020,2020.04.16,4,16,1
1448201,4,2020,2020.04.19,0,19,1
1448301,4,2020,2020.04.16,4,16,1
1448401,4,2020,2020.04.16,4,16,1
1448601,4,2020,2020.04.19,0,19,1
1448701,4,2020,2020.04.19,0,19,1
1448801,4,2020,2020.04.18,6,18,1
1448901,4,2020,2020.04.19,0,19,1
1449001,4,2020,2020.04.19,0,19,1
1449101,4,2020,2020.04.16,4,16,1
1449201,4,2020,2020.04.16,4,16,1
1449301,4,2020,2020.04.19,0,19,1
1449401,4,2020,2020.04.19,0,19,1
1449501,4,2020,2020.04.17,5,17,1
1449601,4,2020,2020.04.16,4,16,1
1449701,4,2020,2020.04.19,0,19,1
1449801,4,2020,2020.04.19,0,19,1
1449901,4,2020,2020.04.17,5,17,1
1450001,4,2020,2020.04.17,5,17,1
1450101,4,2020,2020.04.19,0,19,1
1450201,4,2020,2020.04.20,1,20,1
1450301,4,2020,2020.04.19,0,19,1
1450401,4,2020,2020.04.18,6,18,1
1450501,4,2020,2020.04.19,0,19,1
1450601,4,2020,2020.04.16,4,16,1
1450701,4,2020,2020.04.19,0,19,1
1450801,4,2020,2020.04.19,0,19,1
1450901,4,2020,2020.04.17,5,17,1
1451001,4,2020,2020.04.16,4,16,1
1451101,4,2020,2020.04.16,4,16,1
1451201,4,2020,2020.04.16,4,16,1
1451301,4,2020,2020.04.16,4,16,1
1451401,4,2020,2020.04.17,5,17,1
1451501,4,2020,2020.04.19,0,19,1
1451601,4,2020,2020.04.16,4,16,1
1451701,4,2020,2020.04.16,4,16,1
1451801,4,2020,2020.04.16,4,16,1
1451901,4,2020,2020.04.19,0,19,1
1452001,4,2020,2020.04.19,0,19,1
1452101,4,2020,2020.04.20,1,20,1
1452201,4,2020,2020.04.19,0,19,1
1452301,4,2020,2020.04.19,0,19,1
1452401,4,2020,2020.04.17,5,17,1
1452501,4,2020,2020.04.19,0,19,1
1452601,4,2020,2020.04.20,1,20,1
1452701,4,2020,2020.04.20,1,20,1
1452901,4,2020,2020.04.19,0,19,1
1453001,4,2020,2020.04.19,0,19,1
1453101,4,2020,2020.04.16,4,16,1
1453201,4,2020,2020.04.16,4,16,1
1453301,4,2020,2020.04.19,0,19,1
1453401,4,2020,2020.04.16,4,16,1
1453501,4,2020,2020.04.19,0,19,1
1453601,4,2020,2020.04.19,0,19,1
1453701,4,2020,2020.04.17,5,17,1
1453801,4,2020,2020.04.16,4,16,1
1453901,4,2020,2020.04.19,0,19,1
1454001,4,2020,2020.04.16,4,16,1
1454101,4,2020,2020.04.19,0,19,1
1454201,4,2020,2020.04.19,0,19,1
1454301,4,2020,2020.04.16,4,16,1
