part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
7516,7516_2_1_28,16,NA,NA,M,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_29,16,NA,NA,F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_30,16,NA,NA,M,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_31,NA,30,40,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
7516,7516_2_1_32,NA,40,45,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
7516,7516_2_1_33,NA,30,35,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
7516,7516_2_1_34,NA,35,40,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
7516,7516_2_1_35,NA,25,30,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,3
7516,7516_2_1_36,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,3
7516,7516_2_1_37,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_38,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,2
7516,7516_2_1_39,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_40,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_2_1,42,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_2_2,41,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_2_3,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_4,16,NA,NA,F,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_2_5,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,2
7516,7516_2_2_6,17,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_7,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_8,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_9,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_10,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_11,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_12,15,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_2_13,NA,30,35,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,3
7516,7516_2_2_14,NA,35,40,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,3
7516,7516_2_2_15,NA,30,35,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,2
7516,7516_2_2_16,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,2
7516,7516_2_2_17,NA,25,30,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,3
7516,7516_2_2_18,NA,20,25,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,3
7516,7516_2_2_19,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
7516,7516_2_2_20,NA,35,40,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
7516,7516_2_2_21,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_2_22,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_2_23,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
