cont_id,wave,studyDay
309_1_1_10,1,1
309_1_1_11,1,1
309_1_1_12,1,1
309_1_1_13,1,1
309_1_1_14,1,1
309_1_1_15,1,1
309_1_2_1,1,2
309_1_2_2,1,2
309_1_2_3,1,2
309_1_2_4,1,2
309_1_2_5,1,2
309_1_2_6,1,2
309_1_2_7,1,2
1629_1_1_1,1,1
1629_1_1_2,1,1
1629_1_1_3,1,1
1629_1_1_4,1,1
1629_1_1_5,1,1
1629_1_2_1,1,2
1629_1_2_2,1,2
1629_1_2_3,1,2
1629_1_2_4,1,2
1629_1_2_5,1,2
1629_1_2_6,1,2
1629_1_2_7,1,2
1629_1_2_8,1,2
1629_1_2_9,1,2
1629_1_2_10,1,2
680_1_1_1,1,1
680_1_1_2,1,1
680_1_1_3,1,1
680_1_1_4,1,1
680_1_1_5,1,1
680_1_1_6,1,1
680_1_1_7,1,1
680_1_1_8,1,1
680_1_1_9,1,1
680_1_1_10,1,1
680_1_1_11,1,1
680_1_1_12,1,1
680_1_1_13,1,1
680_1_2_1,1,2
680_1_2_2,1,2
680_1_2_3,1,2
680_1_2_4,1,2
680_1_2_5,1,2
680_1_2_6,1,2
680_1_2_7,1,2
680_1_2_8,1,2
680_1_2_9,1,2
680_1_2_10,1,2
680_1_2_11,1,2
680_1_2_12,1,2
680_1_2_13,1,2
680_1_2_14,1,2
1899_1_1_1,1,1
1899_1_1_2,1,1
1899_1_2_1,1,2
1899_1_2_2,1,2
2186_1_1_1,1,1
2186_1_1_2,1,1
2186_1_1_3,1,1
2186_1_1_4,1,1
2186_1_1_5,1,1
2186_1_2_1,1,2
2186_1_2_2,1,2
2186_1_2_3,1,2
2186_1_2_4,1,2
1449_1_1_1,1,1
1449_1_1_2,1,1
1449_1_1_3,1,1
1449_1_1_4,1,1
1449_1_1_5,1,1
1449_1_1_6,1,1
1449_1_1_7,1,1
1449_1_1_8,1,1
1449_1_1_9,1,1
1449_1_1_10,1,1
1449_1_1_11,1,1
1449_1_2_1,1,2
1449_1_2_2,1,2
1449_1_2_3,1,2
543_1_1_1,1,1
543_1_1_2,1,1
543_1_1_3,1,1
543_1_1_4,1,1
543_1_2_1,1,2
543_1_2_2,1,2
543_1_2_3,1,2
543_1_2_4,1,2
543_1_2_5,1,2
543_1_2_6,1,2
543_1_2_7,1,2
980_1_1_1,1,1
980_1_1_2,1,1
980_1_1_3,1,1
980_1_1_4,1,1
4464_1_1_1,1,1
4464_1_1_2,1,1
4464_1_1_3,1,1
4464_1_1_4,1,1
4464_1_1_5,1,1
4464_1_1_6,1,1
4464_1_1_7,1,1
4464_1_1_8,1,1
4464_1_1_9,1,1
4464_1_1_10,1,1
4464_1_1_11,1,1
4464_1_1_12,1,1
4464_1_1_13,1,1
4464_1_1_14,1,1
4464_1_1_15,1,1
4464_1_2_1,1,2
4464_1_2_2,1,2
4464_1_2_3,1,2
4464_1_2_4,1,2
4464_1_2_5,1,2
4464_1_2_6,1,2
4464_1_2_7,1,2
4464_1_2_8,1,2
4464_1_2_9,1,2
4464_1_2_10,1,2
4464_1_2_11,1,2
4464_1_2_12,1,2
4464_1_2_13,1,2
4464_1_2_14,1,2
4464_1_2_15,1,2
4464_1_2_16,1,2
4464_1_2_17,1,2
4464_1_2_18,1,2
4464_1_2_19,1,2
4464_1_2_20,1,2
4464_1_2_21,1,2
4163_1_1_1,1,1
4163_1_1_2,1,1
4163_1_1_3,1,1
4163_1_1_4,1,1
4163_1_1_5,1,1
4163_1_1_6,1,1
4163_1_1_7,1,1
4163_1_1_8,1,1
4163_1_1_9,1,1
4163_1_1_10,1,1
4163_1_1_11,1,1
4163_1_1_12,1,1
4163_1_1_13,1,1
4163_1_1_14,1,1
4163_1_1_15,1,1
4163_1_1_16,1,1
4163_1_1_17,1,1
4163_1_1_18,1,1
4163_1_1_19,1,1
4163_1_2_1,1,2
4163_1_2_2,1,2
4163_1_2_3,1,2
4163_1_2_4,1,2
4163_1_2_5,1,2
4163_1_2_6,1,2
4163_1_2_7,1,2
4163_1_2_8,1,2
4163_1_2_9,1,2
4163_1_2_10,1,2
4163_1_2_11,1,2
4163_1_2_12,1,2
4163_1_2_13,1,2
4163_1_2_14,1,2
4163_1_2_15,1,2
4163_1_2_16,1,2
3996_1_1_1,1,1
3996_1_1_2,1,1
3996_1_1_3,1,1
3996_1_1_4,1,1
3996_1_2_1,1,2
3996_1_2_2,1,2
3996_1_2_3,1,2
3996_1_2_4,1,2
3996_1_2_5,1,2
2329_1_1_1,1,1
2329_1_1_2,1,1
2329_1_1_3,1,1
2329_1_1_4,1,1
2329_1_2_1,1,2
2329_1_2_2,1,2
4247_1_1_1,1,1
4247_1_1_2,1,1
4247_1_1_3,1,1
4247_1_1_4,1,1
4247_1_1_5,1,1
4247_1_1_6,1,1
4247_1_1_7,1,1
4247_1_1_8,1,1
4247_1_1_9,1,1
4247_1_1_10,1,1
4247_1_1_11,1,1
4247_1_1_12,1,1
4247_1_1_13,1,1
4247_1_1_14,1,1
4247_1_1_15,1,1
4247_1_1_16,1,1
4247_1_1_17,1,1
4247_1_1_18,1,1
4247_1_1_19,1,1
4247_1_1_20,1,1
4247_1_1_21,1,1
4247_1_2_1,1,2
4247_1_2_2,1,2
4247_1_2_3,1,2
4247_1_2_4,1,2
4247_1_2_5,1,2
4247_1_2_6,1,2
4247_1_2_7,1,2
4247_1_2_8,1,2
4247_1_2_9,1,2
4247_1_2_10,1,2
4300_1_1_1,1,1
4300_1_1_2,1,1
4300_1_1_3,1,1
4300_1_1_4,1,1
4300_1_1_5,1,1
4300_1_1_6,1,1
4300_1_1_7,1,1
4300_1_1_8,1,1
4300_1_1_9,1,1
4300_1_1_10,1,1
4300_1_1_11,1,1
4300_1_1_12,1,1
4300_1_1_13,1,1
4300_1_1_14,1,1
4300_1_1_15,1,1
4300_1_1_16,1,1
4300_1_1_17,1,1
4300_1_2_1,1,2
4300_1_2_2,1,2
4300_1_2_3,1,2
4300_1_2_4,1,2
4300_1_2_5,1,2
4300_1_2_6,1,2
4300_1_2_7,1,2
4300_1_2_8,1,2
4300_1_2_9,1,2
4300_1_2_10,1,2
1125_1_1_1,1,1
1125_1_1_2,1,1
1125_1_1_3,1,1
1125_1_1_4,1,1
1125_1_1_5,1,1
1125_1_1_6,1,1
1125_1_1_7,1,1
1125_1_1_8,1,1
1125_1_1_9,1,1
1125_1_2_1,1,2
1125_1_2_2,1,2
1125_1_2_3,1,2
1125_1_2_4,1,2
1125_1_2_5,1,2
1125_1_2_6,1,2
1125_1_2_7,1,2
1125_1_2_8,1,2
1125_1_2_9,1,2
1125_1_2_10,1,2
1125_1_2_11,1,2
1125_1_2_12,1,2
1125_1_2_13,1,2
1125_1_2_14,1,2
1125_1_2_15,1,2
1125_1_2_16,1,2
1125_1_2_17,1,2
1125_1_2_18,1,2
1854_1_1_1,1,1
1854_1_1_2,1,1
1854_1_1_3,1,1
1854_1_1_4,1,1
1854_1_1_5,1,1
1854_1_1_6,1,1
1854_1_1_7,1,1
1854_1_1_8,1,1
1854_1_1_9,1,1
1854_1_1_10,1,1
1854_1_2_1,1,2
1854_1_2_2,1,2
1854_1_2_3,1,2
1854_1_2_4,1,2
1854_1_2_5,1,2
1854_1_2_6,1,2
1854_1_2_7,1,2
1854_1_2_8,1,2
1854_1_2_9,1,2
1854_1_2_10,1,2
353_1_1_1,1,1
353_1_1_2,1,1
353_1_1_3,1,1
353_1_1_4,1,1
353_1_2_1,1,2
353_1_2_2,1,2
353_1_2_3,1,2
353_1_2_4,1,2
353_1_2_5,1,2
353_1_2_6,1,2
353_1_2_7,1,2
353_1_2_8,1,2
353_1_2_9,1,2
353_1_2_10,1,2
353_1_2_11,1,2
1843_1_1_1,1,1
1843_1_1_2,1,1
1843_1_1_3,1,1
1843_1_1_4,1,1
1843_1_1_5,1,1
1843_1_1_6,1,1
1843_1_1_7,1,1
1843_1_1_8,1,1
1843_1_1_9,1,1
1843_1_1_10,1,1
1843_1_1_11,1,1
1843_1_1_12,1,1
1843_1_1_13,1,1
1843_1_1_14,1,1
1843_1_1_15,1,1
1843_1_1_16,1,1
1843_1_1_17,1,1
1843_1_1_18,1,1
1843_1_1_19,1,1
1843_1_1_20,1,1
1843_1_2_1,1,2
1843_1_2_2,1,2
1843_1_2_3,1,2
1843_1_2_4,1,2
1843_1_2_5,1,2
1843_1_2_6,1,2
1843_1_2_7,1,2
1843_1_2_8,1,2
1843_1_2_9,1,2
1843_1_2_10,1,2
1843_1_2_11,1,2
1843_1_2_12,1,2
1843_1_2_13,1,2
1843_1_2_14,1,2
1843_1_2_15,1,2
1843_1_2_16,1,2
1843_1_2_17,1,2
1843_1_2_18,1,2
1843_1_2_19,1,2
1843_1_2_20,1,2
1843_1_2_21,1,2
1843_1_2_22,1,2
1843_1_2_23,1,2
1843_1_2_24,1,2
1843_1_2_25,1,2
1843_1_2_26,1,2
