"hh_id","hh_size_group"
"HH2161","(2,3]"
"HH2162","(1,2]"
"HH2163","(2,3]"
"HH2164","(1,2]"
"HH2165","(3,4]"
"HH2166","(2,3]"
"HH2167","(2,3]"
"HH2168","(2,3]"
"HH2169","(2,3]"
"HH2170","(0,1]"
"HH2171","(2,3]"
"HH2172","(1,2]"
"HH2173","(0,1]"
"HH2174","(3,4]"
"HH2175","(3,4]"
"HH2176","(4,20]"
"HH2177","(2,3]"
"HH2178","(1,2]"
"HH2179","(1,2]"
"HH2180","(4,20]"
"HH2181","(1,2]"
"HH2182","(1,2]"
"HH2183","(2,3]"
"HH2184","(4,20]"
"HH2185","(0,1]"
"HH2186","(1,2]"
"HH2187","(0,1]"
"HH2189","(2,3]"
"HH2190","(1,2]"
"HH2191","(2,3]"
"HH2192","(3,4]"
"HH2194","(3,4]"
"HH2195","(0,1]"
"HH2196","(0,1]"
"HH2197","(4,20]"
"HH2198","(2,3]"
"HH2199","(2,3]"
"HH2200","(0,1]"
"HH2201","(3,4]"
"HH2202","(2,3]"
"HH2203","(0,1]"
"HH2204","(0,1]"
"HH2205","(2,3]"
"HH2206","(4,20]"
"HH2207","(2,3]"
"HH2208","(1,2]"
"HH2209","(1,2]"
"HH2210","(2,3]"
"HH2211","(1,2]"
"HH2212","(1,2]"
"HH2213","(0,1]"
"HH2214","(4,20]"
"HH2215","(4,20]"
"HH2216","(3,4]"
"HH2217","(3,4]"
"HH2218","(2,3]"
"HH2219","(1,2]"
"HH2220","(1,2]"
"HH2221","(2,3]"
"HH2222","(2,3]"
"HH2223","(2,3]"
"HH2224","(2,3]"
"HH2225","(2,3]"
"HH2226","(1,2]"
"HH2227","(0,1]"
"HH2228","(2,3]"
"HH2229","(3,4]"
"HH2230","(2,3]"
"HH2231","(3,4]"
"HH2232","(2,3]"
"HH2233","(2,3]"
"HH2234","(4,20]"
"HH2235","(2,3]"
"HH2236","(2,3]"
"HH2237","(2,3]"
"HH2238","(1,2]"
"HH2239","(3,4]"
"HH2240","(0,1]"
"HH2241","(3,4]"
"HH2242","(2,3]"
"HH2243","(1,2]"
"HH2244","(2,3]"
"HH2245","(2,3]"
"HH2246","(2,3]"
"HH2247","(2,3]"
"HH2248","(2,3]"
"HH2249","(2,3]"
"HH2250","(2,3]"
"HH2251","(4,20]"
"HH2252","(2,3]"
"HH2253","(3,4]"
"HH2254","(1,2]"
"HH2255","(3,4]"
"HH2256","(1,2]"
"HH2257","(1,2]"
"HH2258","(3,4]"
"HH2259","(2,3]"
"HH2260","(2,3]"
"HH2261","(0,1]"
"HH2262","(0,1]"
"HH2263","(2,3]"
"HH2264","(1,2]"
"HH2265","(0,1]"
"HH2266","(0,1]"
"HH2267","(2,3]"
"HH2268","(3,4]"
"HH2269","(3,4]"
"HH2270","(1,2]"
"HH2271","(3,4]"
"HH2272","(0,1]"
"HH2273","(1,2]"
"HH2274","(2,3]"
"HH2275","(4,20]"
"HH2276","(2,3]"
"HH2277","(3,4]"
"HH2278","(4,20]"
"HH2279","(2,3]"
"HH2280","(0,1]"
"HH2281","(2,3]"
"HH2282","(4,20]"
"HH2283","(2,3]"
"HH2284","(1,2]"
"HH2285","(4,20]"
"HH2286","(1,2]"
"HH2287","(1,2]"
"HH2288","(2,3]"
"HH2289","(2,3]"
"HH2290","(0,1]"
"HH2291","(2,3]"
"HH2292","(1,2]"
"HH2293","(4,20]"
"HH2294","(1,2]"
"HH2295","(2,3]"
"HH2296","(2,3]"
"HH2297","(1,2]"
"HH2298","(4,20]"
"HH2299","(3,4]"
"HH2300","(0,1]"
"HH2301","(2,3]"
"HH2302","(4,20]"
"HH2303","(2,3]"
"HH2304","(2,3]"
"HH2305","(1,2]"
"HH2306","(4,20]"
"HH2307","(2,3]"
"HH2308","(3,4]"
"HH2309","(2,3]"
"HH2310","(2,3]"
"HH2311","(4,20]"
"HH2312","(2,3]"
"HH2313","(0,1]"
"HH2314","(2,3]"
"HH2315","(2,3]"
"HH2316","(1,2]"
"HH2317","(0,1]"
"HH2318","(3,4]"
"HH2319","(3,4]"
"HH2320","(2,3]"
"HH2321","(2,3]"
"HH2322","(2,3]"
