cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all,cnt_prec_yn,cnt_prec,cnt_prec_none
uk_G1_700619199,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619200,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619201,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619202,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619203,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619204,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619205,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619206,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619207,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619208,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619209,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619210,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619211,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619212,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619213,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619214,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619215,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619216,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619217,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619218,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619219,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619220,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619221,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619222,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619223,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619224,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619225,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619226,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619227,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619228,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619229,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619230,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619231,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619232,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619233,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700621001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700621002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700622001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700622002,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met,1,1,0
uk_G1_700622003,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met,1,1,0
uk_G1_700624001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700625001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days,1,1,0
uk_G1_700625002,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met,1,1,0
uk_G1_700626001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700626002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
uk_G1_700626003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700626004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700626005,FALSE,FALSE,FALSE,TRUE,FALSE,male,3-7 days,1,1,0
uk_G1_700626006,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626007,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626008,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626009,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626010,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626011,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626012,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700626013,NA,NA,NA,NA,NA,NA,NA,1,1,NA
uk_G1_700627001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700627002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700627003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700627004,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700627005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700627006,FALSE,FALSE,FALSE,FALSE,TRUE,other,never met,1,1,0
uk_G1_700627007,FALSE,FALSE,FALSE,FALSE,TRUE,female,never met,1,1,0
uk_G1_700627008,FALSE,FALSE,FALSE,TRUE,FALSE,male,never met,1,1,0
uk_G1_700627009,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met,1,1,0
uk_G1_700627010,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks,1,1,0
uk_G1_700627011,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700628001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700628002,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met,1,1,0
uk_G1_700628003,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700628004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700629001,TRUE,FALSE,FALSE,TRUE,FALSE,male,1-2 days,1,1,0
uk_G1_700630001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700630002,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700631001,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met,1,1,0
uk_G1_700631002,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met,1,1,0
uk_G1_700632001,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional,1,1,0
uk_G1_700632002,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700632003,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700632004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
uk_G1_700632005,FALSE,FALSE,FALSE,FALSE,FALSE,male,NA,1,1,0
uk_G1_700633001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700633002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,0,0,1
uk_G1_700635001,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days,1,1,0
uk_G1_700635002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700635003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700636001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700637001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700637002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700638001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700639001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700639002,FALSE,FALSE,TRUE,TRUE,FALSE,female,3-7 days,1,1,0
uk_G1_700639003,FALSE,FALSE,TRUE,TRUE,FALSE,female,1-2 days,1,1,0
uk_G1_700639004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700640001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700640002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700640003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days,1,1,0
uk_G1_700640004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
uk_G1_700640005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days,1,1,0
uk_G1_700640006,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
uk_G1_700640007,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
uk_G1_700641001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700641002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700641003,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days,1,1,0
uk_G1_700641004,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days,1,1,0
uk_G1_700641005,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days,1,1,0
uk_G1_700641006,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days,1,1,0
uk_G1_700641007,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641008,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641009,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641010,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641011,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641012,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641013,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641014,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641015,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641016,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641017,NA,NA,NA,NA,NA,NA,NA,0,0,NA
